naslov,izdano,dolzina,jezik
The Hunger Games,September 14th 2008,374,English
Harry Potter and the Order of the Phoenix,September 2004,870,English
To Kill a Mockingbird ,May 23rd 2006,324,English
Pride and Prejudice,October 10th 2000,279,English
Twilight,September 6th 2006,501,English
The Book Thief,March 14th 2006,552,English
Animal Farm: A Fairy Story,April 1996,141,English
The Chronicles of Narnia,September 16th 2002,767,English
The Fault in Our Stars,January 10th 2012,313,English
Gone with the Wind,April 1st 1999,1037,English
The Hitchhiker's Guide to the Galaxy,June 23rd 2007,193,English
The Giving Tree,October 7th 1964,64,English
Wuthering Heights,2002,464,English
The Da Vinci Code,March 28th 2006,489,English
The Picture of Dorian Gray,June 1st 2004,272,English
Memoirs of a Geisha,November 22nd 2005,503,English
"Alice's Adventures in Wonderland / Through the Looking Glass, and What Alice Found There",December 1st 2000,239,English
Jane Eyre ,February 4th 2003,532,English
Les Misérables,March 3rd 1987,1463,English
Fahrenheit 451,November 29th 2011,194,English
Divergent,February 28th 2012,487,English
Lord of the Flies,October 1st 1999,182,English
An Excellent conceited Tragedy of Romeo and Juliet,January 1st 2004,301,English
O Alquimista,April 15th 2014,182,English
The Perks of Being a Wallflower,February 1999,213,English
Преступление и наказание,December 31st 2002,671,English
The Great Gatsby,September 2004,200,English
City of Bones,March 27th 2007,485,English
Ender's Game,September 30th 2004,324,English
The Help,February 10th 2009,451,English
Anne of Green Gables,May 6th 2003,320,English
Harry Potter and the Philosopher's Stone,November 1st 2003,309,English
Le Petit Prince,June 29th 2000,93,English
Charlotte's Web,October 1st 2001,184,English
Of Mice and Men ,January 8th 2002,103,English
The Time Traveler's Wife,September 23rd 2013,500,English
Dracula,May 12th 1986,488,English
Brave New World,September 1st 1998,288,English
Cien años de soledad,June 24th 2003,417,English
The Catcher in the Rye,January 30th 2001,277,English
The Princess Bride,July 15th 2003,456,English
The Lightning Thief,March 1st 2006,375,English
The Secret Garden,September 1st 1998,331,English
A Thousand Splendid Suns,June 1st 2007,372,English
A Wrinkle in Time,November 7th 2017,218,English
A Game of Thrones,August 2005,835,English
The Adventures of Huckleberry Finn,December 31st 2002,327,English
The Outsiders,September 1st 1997,192,English
The Lovely Bones,September 1st 2006,372,English
Where the Wild Things Are,2000,37,English
Green Eggs and Ham,1988,62,English
Ὀδύσσεια ,November 30th 2006,541,English
Life of Pi,August 29th 2006,460,English
A Tale of Two Cities,2003,489,English
Water for Elephants,May 1st 2007,335,English
Lolita,1995,331,English
"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",January 12th 1999,275,English
"Frankenstein; or, The Modern Prometheus ",March 8th 2018,288,English
The Kite Runner ,May 2004,371,English
The Handmaid's Tale,April 1998,314,English
The Giver,January 24th 2006,208,English
Catch-22,September 4th 2004,453,English
Dune,October 1st 2019,661,English
Pillars of the Earth,February 4th 2002,976,English
The Stand,May 1st 1990,1153,English
Watership Down,June 1975,478,English
Great Expectations,1998,505,English
Little Women,April 6th 2004,449,English
Harry Potter and the Deathly Hallows,July 21st 2007,759,English
The Bell Jar,2006,294,English
One Flew Over the Cuckoo's Nest,February 1st 1963,325,English
Анна Каренина,October 16th 2012,964,English
Outlander,July 26th 2005,850,English
Matilda,June 1st 1998,240,English
My Sister's Keeper,February 1st 2005,423,English
The Fellowship of the Ring,March 1973,527,English
Män som hatar kvinnor,September 16th 2008,465,English
Rebecca,December 17th 2013,449,English
Nineteen Eighty-Four,September 3rd 2013,237,English
The Color Purple,December 10th 2019,304,English
A Tree Grows in Brooklyn ,May 30th 2006,496,English
A Clockwork Orange,May 21st 2019,240,English
The Road,October 2nd 2006,241,English
Братья Карамазовы,June 14th 2002,796,English
Angela's Ashes: A Memoir,October 3rd 2005,452,English
Vampire Academy,August 16th 2007,332,English
Siddhartha. Eine indische Dichtung,December 1st 1981,152,English
The Poisonwood Bible,July 5th 2005,546,English
Northern Lights,April 16th 1996,399,English
 El ingenioso hidalgo don Quijote de la Mancha,February 25th 2003,1023,English
Harry Potter and the Prisoner of Azkaban,May 1st 2004,435,English
Atlas Shrugged,August 1st 1999,1168,English
The Old Man and the Sea,1996,96,English
The Notebook,January 5th 2000,227,English
The Complete Tales and Poems of Edgar Allan Poe,August 15th 1984,821,English
Interview with the Vampire,August 31st 2004,342,English
A Prayer for Owen Meany,1990,637,English
"Moby-Dick; or, The Whale ",February 21st 2003,654,English
The Red Tent,October 1997,324,English
Harry Potter and the Goblet of Fire,September 28th 2002,734,English
The Secret Life of Bees,January 28th 2003,302,English
Clockwork Angel,August 31st 2010,481,English
Harry Potter and the Half-Blood Prince,September 16th 2006,652,English
Ten Little Niggers,May 3rd 2004,264,English
Middlesex,September 16th 2003,529,English
L’Étranger,March 28th 1989,123,English
Мастер и Маргарита,March 1996,372,English
The Name of the Wind,April 2007,662,English
The Shining,July 1st 1980,659,English
The Adventures of Tom Sawyer,February 28th 2006,244,English
Eragon,April 2005,503,English
Charlie and the Chocolate Factory,June 2nd 2005,176,English
Flowers for Algernon,"<nobr class=""greyText"">",216,English
On the Road,January 1st 1976,307,English
Die Verwandlung,March 1st 1972,201,English
Looking for Alaska,December 28th 2006,221,English
La sombra del viento,2005,487,English
The Curious Incident of the Dog in the Night-Time,May 18th 2004,226,English
The Very Hungry Caterpillar,1994,26,English
Tuesdays with Morrie,2000,210,English
Nesnesitelná lehkost bytí,October 27th 2009,320,English
Il nome della rosa,September 28th 1994,536,English
Where the Red Fern Grows,May 9th 2000,272,English
Harry Potter and the Chamber of Secrets,June 2nd 1999,341,English
The Godfather,March 1st 2002,448,English
The Scarlet Letter,February 27th 2003,279,English
In Cold Blood,1994,343,English
Fight Club,May 1st 2018,218,English
The Five People You Meet in Heaven,September 23rd 2003,196,English
"Hush, Hush",October 13th 2009,391,English
The Cat in the Hat,1985,61,English
Le Comte de Monte-Cristo,May 27th 2003,1138,English
American Gods,June 21st 2011,635,English
Lonesome Dove,October 1st 1999,960,English
Das Parfum. Die Geschichte eines Mörders,1987,263,English
Holes,September 2nd 2000,233,English
"The Lion, the Witch and the Wardrobe",2005,206,English
Watchmen,2005,416,English
The Last Olympian,May 5th 2009,381,English
It,October 1st 1987,1116,English
The Little House Collection,October 7th 2003,2700,English
La Divina Commedia,August 1st 1995,798,English
Peter Pan,October 1st 2003,176,English
Im Westen nichts Neues,March 12th 1987,296,English
"The Hobbit, or There and Back Again",August 15th 2002,366,English
El amor en los tiempos del cólera,October 5th 2003,348,English
Shadow Kiss,November 13th 2008,443,English
Insurgent,May 1st 2012,525,English
The Thorn Birds,2002,692,English
A Walk to Remember,May 24th 2000,215,English
How the Grinch Stole Christmas!,October 4th 2004,64,English
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,April 28th 2002,815,English
"Eat, Pray, Love",February 1st 2007,368,English
Atonement,March 2003,351,English
The Importance of Being Earnest,2005,76,English
Their Eyes Were Watching God,May 30th 2006,219,English
Les Trois Mousquetaires,February 13th 2001,625,English
The Wonderful Wizard of Oz,1995,154,English
Frostbite,April 10th 2008,327,English
Goodnight Moon,January 23rd 2007,32,English
The Lorax,February 24th 1998,72,English
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",November 28th 2006,491,English
Blood Promise,August 25th 2009,503,English
Tess of the D'Urbervilles,January 30th 2003,518,English
Heart of Darkness,October 1st 2003,188,English
The Good Earth,March 4th 2009,418,English
The Battle of the Labyrinth,March 6th 2008,361,English
Clockwork Princess,September 5th 2013,567,English
The Prophet,January 1st 2010,127,English
The Mists of Avalon,July 15th 2001,1009,English
The Titan's Curse,May 5th 2007,320,English
The Sea of Monsters,April 1st 2006,279,English
The Joy Luck Club,September 21st 2006,288,English
Alice's adventures in Wonderland,September 7th 2004,92,English
The Call of the Wild,January 1st 2001,172,English
Jonathan Livingston Seagull,February 7th 2006,112,English
Madame Bovary,2004,329,French
The Phantom Tollbooth,1996,256,English
Bridge to Terabithia,October 6th 2009,190,English
The Hunger Games Box Set,August 24th 2010,1155,English
"Oh, the Places You'll Go!",January 22nd 1990,44,English
The Maze Runner,October 6th 2009,384,English
Flickan som lekte med elden,July 28th 2009,503,English
"Oliver Twist; or, The Parish Boy’s Progress",2003,608,English
Die unendliche Geschichte,1997,396,English
Ulysses,1990,783,English
Treasure Island,September 15th 2001,311,English
Fifty Shades of Grey,May 25th 2011,356,English
The Clan of the Cave Bear,October 6th 2016,516,English
A Storm of Swords,March 4th 2003,1177,English
The Canterbury Tales ,January 30th 2003,521,English
The World According to Garp,April 1st 1999,610,English
A Farewell to Arms,2004,293,English
David Copperfield ,2004,882,English
Thirteen Reasons Why,March 16th 2009,288,German
Wicked: The Life and Times of the Wicked Witch of the West,2000,406,English
Shōgun,February 19th 2009,1152,English
Extremely Loud and Incredibly Close,April 4th 2006,326,English
Murder on the Orient Express,June 4th 2007,274,English
His Dark Materials: Northern Lights / The Subtle Knife / The Amber Spyglass,September 23rd 2003,1088,English
A Little Princess,February 26th 2002,242,English
The Other Boleyn Girl,May 21st 2003,661,English
Schindler's Ark,February 17th 1994,429,English
The Boy in the Striped Pyjamas,September 12th 2006,240,English
The Night Circus,September 13th 2011,391,English
Jurassic Park,May 14th 2012,466,English
Fallen,December 8th 2009,452,English
Last Sacrifice ,December 7th 2010,594,English
The Silmarillion,November 15th 2004,386,English
The Secret Magdalene,March 27th 2007,448,English
Beloved,June 8th 2004,324,English
The Selection,April 24th 2012,336,English
Der Prozess,April 9th 2001,255,English
A Confederacy of Dunces,January 1994,394,English
The Sun Also Rises,1957,189,English
The Velveteen Rabbit,April 1st 1987,40,English
Catching Fire,September 1st 2009,391,English
The Lost Hero,October 12th 2010,553,English
Throne of Glass,August 7th 2012,406,English
Spirit Bound,May 18th 2010,489,English
Clockwork Prince,December 6th 2011,498,English
Ἰλιάς ; Ὀδύσσεια',November 1st 1999,1556,English
The Crucible,March 25th 2003,143,English
Cat's Cradle,1999,179,English
