genre,genre_glasovi
Young Adult,"30,731"
Fiction,"17,227"
Fantasy,"13,448"
Science Fiction,"10,550"
Romance,"3,907"
Adventure,"3,399"
Fantasy,"47,933"
Young Adult,"15,507"
Fiction,"13,496"
Childrens,"2,846"
Adventure,"2,011"
Audiobook,"1,694"
Classics,"1,306"
Classics,"44,719"
Fiction,"22,519"
Literature,"2,980"
Young Adult,"2,865"
Historical,"1,793"
Novels,"1,767"
Classics,"49,140"
Fiction,"14,873"
Romance,"11,948"
Literature,"2,581"
Historical,"2,239"
Novels,"1,416"
Young Adult,"19,534"
Fantasy,"18,314"
Romance,"11,490"
Fiction,"7,785"
Fiction,"12,939"
Young Adult,"10,407"
Historical,"4,263"
Classics,"2,334"
War,"2,029"
Classics,"32,087"
Fiction,"18,391"
Fantasy,"2,992"
Literature,"2,690"
Politics,"2,483"
Science Fiction,"1,926"
Novels,"1,661"
Fantasy,"11,321"
Classics,"4,263"
Fiction,"3,738"
Young Adult,"2,052"
Childrens,"1,423"
Christian,681
Adventure,564
Science Fiction Fantasy,391
Fantasy,"2,222"
Fiction,645
Classics,562
Adventure,102
Science Fiction Fantasy,98
Young Adult,57
Literature,55
Young Adult,"20,944"
Romance,"10,712"
Fiction,"10,671"
Contemporary,"7,135"
Realistic Fiction,"2,411"
Drama,925
Novels,918
Classics,"13,399"
Fiction,"5,457"
Romance,"3,150"
Historical,"1,468"
War,594
Literature,570
Science Fiction,"14,224"
Fiction,"10,205"
Humor,"5,439"
Fantasy,"4,434"
Classics,"4,319"
Science Fiction Fantasy,"1,407"
Audiobook,"1,015"
Adventure,831
Childrens,"4,013"
Classics,"2,538"
Fiction,"2,483"
Poetry,"1,799"
Young Adult,511
Fantasy,282
Kids,186
Classics,"33,233"
Fiction,"9,353"
Romance,"4,906"
Gothic,"2,000"
Literature,"1,754"
Novels,911
Fiction,"16,918"
Mystery,"9,215"
Thriller,"6,922"
Suspense,"1,807"
Adventure,"1,404"
Novels,"1,262"
Classics,"26,823"
Fiction,"9,819"
Horror,"3,017"
Fantasy,"2,222"
Literature,"1,677"
Gothic,"1,504"
Novels,943
LGBT,632
Fiction,"10,092"
Romance,"2,218"
Historical,"2,152"
Classics,"1,792"
Adult,787
Novels,647
Classics,"11,948"
Fantasy,"6,348"
Fiction,"4,423"
Childrens,"2,007"
Young Adult,916
Literature,630
Adventure,548
Novels,372
Classics,"38,029"
Fiction,"10,983"
Romance,"6,528"
Literature,"1,960"
Gothic,"1,909"
Historical,"1,296"
Classics,"16,157"
Fiction,"5,435"
Literature,"1,126"
Historical,783
Novels,635
Romance,508
Classics,"22,856"
Fiction,"13,844"
Science Fiction,"10,748"
Literature,"1,530"
Novels,"1,176"
Fantasy,"1,009"
Adult,798
Young Adult,"20,664"
Fiction,"7,013"
Fantasy,"6,513"
Science Fiction,"5,847"
Romance,"4,034"
Adventure,"1,490"
Classics,"27,207"
Fiction,"15,130"
Young Adult,"3,577"
Literature,"2,119"
Novels,"1,246"
Classics,"26,904"
Plays,"9,842"
Fiction,"6,093"
Romance,"5,289"
Drama,"3,050"
Literature,"1,458"
Fiction,"14,727"
Classics,"6,470"
Fantasy,"3,495"
Philosophy,"2,905"
Novels,"1,603"
Spirituality,"1,340"
Literature,"1,058"
Self Help,948
Inspirational,944
Young Adult,"12,264"
Fiction,"7,541"
Contemporary,"4,657"
Romance,"1,353"
Realistic Fiction,"1,269"
LGBT,"1,105"
Classics,"1,075"
Classics,"16,630"
Fiction,"8,420"
Literature,"1,862"
Novels,"1,021"
Philosophy,975
Classics,"44,004"
Fiction,"20,398"
Literature,"3,233"
Romance,"2,684"
Novels,"1,799"
Fantasy,"18,742"
Young Adult,"13,821"
Romance,"4,044"
Fiction,"2,887"
Science Fiction,"15,563"
Fiction,"7,666"
Young Adult,"4,705"
Fantasy,"2,869"
Classics,"1,916"
Science Fiction Fantasy,"1,563"
War,699
Audiobook,628
Fiction,"12,300"
Historical,"2,173"
Adult,"1,337"
Adult Fiction,"1,205"
Contemporary,934
Classics,871
Audiobook,869
Classics,"13,369"
Fiction,"5,033"
Young Adult,"3,619"
Childrens,"2,215"
Historical,780
Audiobook,707
Fantasy,"61,946"
Fiction,"18,555"
Young Adult,"18,425"
Childrens,"4,720"
Adventure,"3,029"
Classics,"2,763"
Audiobook,"2,472"
Classics,"14,286"
Fiction,"7,923"
Fantasy,"5,431"
Childrens,"3,476"
Young Adult,"1,409"
Philosophy,"1,384"
Literature,935
Classics,"7,638"
Childrens,"5,117"
Fiction,"4,818"
Young Adult,"1,633"
Fantasy,"1,495"
Animals,"1,224"
Classics,"25,638"
Fiction,"12,318"
Literature,"2,032"
Novels,"1,036"
Fiction,"10,121"
Romance,"5,838"
Fantasy,"3,630"
Science Fiction,"2,456"
Contemporary,"1,257"
Adult,945
Adult Fiction,769
Classics,"20,395"
Horror,"11,114"
Fiction,"6,999"
Fantasy,"4,585"
Gothic,"2,133"
Literature,"1,079"
Audiobook,701
Classics,"18,864"
Fiction,"13,383"
Science Fiction,"9,300"
Literature,"1,859"
Novels,"1,192"
Fantasy,854
Philosophy,791
Fiction,"9,950"
Classics,"8,388"
Magical Realism,"2,884"
Literature,"1,498"
Novels,"1,168"
Fantasy,"1,065"
Literary Fiction,494
Classics,"31,545"
Fiction,"17,682"
Young Adult,"4,082"
Literature,"2,551"
Novels,"1,652"
Fantasy,"15,096"
Fiction,"5,562"
Classics,"5,368"
Romance,"3,290"
Humor,"1,711"
Young Adult,"1,554"
Adventure,"1,464"
Science Fiction Fantasy,518
Fantasy,"22,507"
Young Adult,"9,839"
Fiction,"4,512"
Adventure,"2,447"
Childrens,"1,565"
Classics,"16,582"
Fiction,"5,276"
Childrens,"3,259"
Young Adult,"2,120"
Literature,488
Fantasy,458
Historical,450
Fiction,"9,181"
Contemporary,"1,187"
Novels,744
Historical,672
War,535
Adult Fiction,521
Adult,517
Drama,480
Fantasy,"12,632"
Fiction,"6,396"
Classics,"6,026"
Young Adult,"6,007"
Science Fiction,"4,923"
Childrens,"2,824"
Adventure,882
Fantasy,"44,977"
Fiction,"10,281"
Adult,"1,512"
Science Fiction Fantasy,"1,478"
Adventure,"1,218"
Audiobook,971
Classics,"21,736"
Fiction,"9,483"
Literature,"1,649"
Young Adult,"1,636"
Adventure,"1,520"
Novels,779
Classics,"8,418"
Young Adult,"7,100"
Fiction,"5,274"
Realistic Fiction,928
Contemporary,506
Fiction,"10,161"
Mystery,"3,122"
Young Adult,"2,097"
Contemporary,"1,567"
Fantasy,"1,285"
Adult,687
Adult Fiction,686
Drama,605
Childrens,"3,987"
Fiction,"2,055"
Classics,"2,013"
Fantasy,"1,793"
Adventure,385
Young Adult,246
Animals,231
Kids,208
Childrens,"3,904"
Classics,"1,690"
Fiction,"1,602"
Poetry,772
Fantasy,303
Humor,300
Kids,186
Classics,"19,087"
Fiction,"5,263"
Poetry,"4,857"
Fantasy,"1,831"
Literature,"1,481"
Adventure,830
Fiction,"13,243"
Fantasy,"2,626"
Classics,"1,892"
Adventure,"1,524"
Contemporary,"1,299"
Novels,911
Literature,882
Magical Realism,823
Classics,"21,066"
Fiction,"7,192"
Literature,"1,477"
Historical,851
Novels,724
Fiction,"9,842"
Romance,"2,956"
Historical,"1,231"
Adult,943
Adult Fiction,803
Contemporary,728
Book Club,626
Novels,531
Classics,"12,719"
Fiction,"8,647"
Literature,"1,430"
Novels,925
Romance,639
Literary Fiction,535
Adult,436
Classics,"2,000"
War,"1,857"
Novels,"1,001"
Fantasy,615
Humor,483
Historical,462
Literary Fiction,446
Classics,"27,636"
Fiction,"9,788"
