naslov,avtor,ilustrator
Harry Potter and the Order of the Phoenix,J.K. Rowling,Mary GrandPré
To Kill a Mockingbird,Harper Lee,حسین نعیمی
Pride and Prejudice,Jane Austen,Anna Quindlen
Animal Farm,Russell Baker,C.M. Woodhouse
The Chronicles of Narnia,C.S. Lewis,Pauline Baynes
Wuthering Heights,Charlotte Brontë,Robert Heindel
The Picture of Dorian Gray,Oscar Wilde,Jeffrey Eugenides
Alice's Adventures in Wonderland / Through the Looking-Glass,John Tenniel,Martin Gardner
Jane Eyre,Michael Mason,Barnett Freedman
Les Misérables,Lee Fahnestock,Norman MacAfee
Romeo and Juliet,Barbara A. Mowat,Paavo Emil Cajander
The Alchemist,Alan R. Clarke,James Noel Smith
Crime and Punishment,Fyodor Dostoyevsky,David McDuff
The Great Gatsby,F. Scott Fitzgerald,Francis Scott Fitzgerald
Ender's Game,Stefan Rudnicki,Harlan Ellison
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Mary GrandPré
The Little Prince,Ivan Minatti,Nguyễn Thành Vũ
Charlotte's Web,Garth Williams,Rosemary Wells
Dracula,Nina Auerbach,David J. Skal
One Hundred Years of Solitude,Gabriel García Márquez,Gregory Rabassa
The Adventures of Huckleberry Finn,John Seelye,Walter Trier
The Odyssey,Robert Fagles,Bernard Knox
A Tale of Two Cities,Charles Dickens,Richard Maxwell
Lolita,Vladimir Nabokov,Craig Raine
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,Charlotte Gordon
The Kite Runner,Khaled Hosseini,Berliani M. Nugrahani
The Stand,Stephen King,Bernie Wrightson
Great Expectations,Παυλίνα Παμπούδη,Marisa Sestino
Anna Karenina,Louise Maude,George Gibian
Matilda,Roald Dahl,Quentin Blake
The Girl with the Dragon Tattoo,Stieg Larsson,Reg Keeland
The Brothers Karamazov,Richard Pevear,Larissa Volokhonsky
Siddhartha,Hermann Hesse,Hilda Rosner
Don Quixote,John Rutherford,Roberto González Echevarría
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Mary GrandPré
Atlas Shrugged,Ayn Rand,Leonard Peikoff
Winnie-the-Pooh,A.A. Milne,Ernest H. Shepard
