naslov,autor,ilustrator
The Hunger Games,Suzanne Collins,
Harry Potter and the Order of the Phoenix,Mary GrandPré,
To Kill a Mockingbird,حسین نعیمی,
Pride and Prejudice,Anna Quindlen,
Twilight,Stephenie Meyer,
The Book Thief,Markus Zusak,
Animal Farm,C.M. Woodhouse,
The Chronicles of Narnia,Pauline Baynes,
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,
The Fault in Our Stars,John Green,
Gone with the Wind,Margaret Mitchell,
The Hitchhiker's Guide to the Galaxy,Douglas Adams,
The Giving Tree,Shel Silverstein,
Wuthering Heights,Robert Heindel,
The Da Vinci Code,Dan Brown,
The Picture of Dorian Gray,Jeffrey Eugenides,
Memoirs of a Geisha,Arthur Golden,
Alice's Adventures in Wonderland / Through the Looking-Glass,Martin Gardner,
Jane Eyre,Barnett Freedman,
Les Misérables,Norman MacAfee,
Fahrenheit 451,Ray Bradbury,
Divergent,Veronica Roth,
Lord of the Flies,William Golding,
Romeo and Juliet,Paavo Emil Cajander,
The Alchemist,James Noel Smith,
The Perks of Being a Wallflower,Stephen Chbosky,
Crime and Punishment,David McDuff,
The Great Gatsby,Francis Scott Fitzgerald,
City of Bones,Cassandra Clare,
Ender's Game,Harlan Ellison,
The Help,Kathryn Stockett,
Anne of Green Gables,L.M. Montgomery,
Harry Potter and the Sorcerer's Stone,Mary GrandPré,
The Little Prince,Nguyễn Thành Vũ,
Charlotte's Web,Rosemary Wells,
Of Mice and Men,John Steinbeck,
The Time Traveler's Wife,Audrey Niffenegger,
Dracula,David J. Skal,
Brave New World,Aldous Huxley,
One Hundred Years of Solitude,Gregory Rabassa,
The Catcher in the Rye,J.D. Salinger,
The Princess Bride,William Goldman,
The Lightning Thief,Rick Riordan,
The Secret Garden,Frances Hodgson Burnett,
A Thousand Splendid Suns,Khaled Hosseini,
A Wrinkle in Time,Madeleine L&#39;Engle,
A Game of Thrones,George R.R. Martin,
The Adventures of Huckleberry Finn,Walter Trier,
The Outsiders,S.E. Hinton,
